cluster_id,cluster_size,classes,source_splits,example_path,example_montage
689,24,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1055.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_689.png
700,23,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0149.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_700.png
714,21,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1295.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_714.png
688,19,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1082.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_688.png
12,16,glioma;meningioma,training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0389.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_012.png
670,16,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1486.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_670.png
679,15,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0029.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_679.png
742,14,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1334.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_742.png
697,14,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0820.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_697.png
793,14,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1279.jpg,/Users/riyabasak_15/brain_tumor_project/results/near_duplicate_examples/cluster_793.png
809,14,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1495.jpg,
819,13,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0574.jpg,
800,13,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0833.jpg,
690,12,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1041.jpg,
715,12,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0404.jpg,
728,12,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1478.jpg,
824,11,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1291.jpg,
781,11,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1490.jpg,
818,11,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0560.jpg,
684,11,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0565.jpg,
669,11,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_0798.jpg,
740,10,notumor,testing;training,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/notumor/Tr-no_1485.jpg,
