idx1,idx2,hamming_dist,orig_path_1,orig_path_2,class_1,class_2,source_split_1,source_split_2
0,86,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_1135.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_1136.jpg,glioma,glioma,training,training
1,81,2,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0559.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0558.jpg,glioma,glioma,training,training
1,249,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0559.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0560.jpg,glioma,glioma,training,training
1,5604,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0559.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Testing/glioma/Te-gl_0135.jpg,glioma,glioma,training,testing
2,82,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_1121.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_1120.jpg,glioma,glioma,training,training
2,324,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_1121.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_1119.jpg,glioma,glioma,training,training
2,1415,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_1121.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/meningioma/Tr-me_1049.jpg,glioma,meningioma,training,training
3,79,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0217.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0216.jpg,glioma,glioma,training,training
3,1149,2,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0217.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0218.jpg,glioma,glioma,training,training
6,76,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0565.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0564.jpg,glioma,glioma,training,training
16,870,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0940.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0939.jpg,glioma,glioma,training,training
18,1164,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0968.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0967.jpg,glioma,glioma,training,training
18,1211,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0968.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0966.jpg,glioma,glioma,training,training
18,5738,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0968.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Testing/glioma/Te-gl_0177.jpg,glioma,glioma,training,testing
20,1296,2,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0149.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0150.jpg,glioma,glioma,training,training
24,5610,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0175.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Testing/glioma/Te-gl_0082.jpg,glioma,glioma,training,testing
26,776,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0820.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0647.jpg,glioma,glioma,training,training
36,45,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0411.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0410.jpg,glioma,glioma,training,training
36,120,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0411.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0412.jpg,glioma,glioma,training,training
43,508,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0389.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0138.jpg,glioma,glioma,training,training
43,694,4,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0389.jpg,/Users/riyabasak_15/brain_tumor_project/data/raw/brain-tumor-mri-dataset/kaggle_brain_mri_scan_dataset/Training/glioma/Tr-gl_0136.jpg,glioma,glioma,training,training
